Rank,Name,POP2010,AREAkm,AREAmi
476,"Lake Havasu City, AZ",53427,76.50,29.50
477,"Farmington, NM",53049,90.40,34.90
478,"Cape Girardeau, MO—IL",52900,90.70,35.00
479,"San Marcos, TX",52826,68.90,26.60
480,"Sierra Vista, AZ",52745,78.40,30.30
481,"Cartersville, GA",52477,131.10,50.60
482,"Arroyo Grande--Grover Beach, CA",52000,59.60,23.00
483,"Lewiston, ID—WA",51924,73.10,28.20
484,"Cumberland, MD—WV—PA",51899,84.50,32.60
485,"Lompoc, CA",51509,27.70,10.70
486,"Hinesville, GA",51456,80.70,31.10
487,"Uniontown--Connellsville, PA",51370,100.60,38.80
488,"Casa Grande, AZ",51331,57.70,22.30
489,"Villas, NJ",51291,87.70,33.90
490,"Monroe, MI",51240,83.10,32.10
491,"Brunswick, GA",51024,112.40,43.40
492,"Danville, IL",50996,77.20,29.80
493,"Chambersburg, PA",50887,96.80,37.40
494,"Grants Pass, OR",50520,70.40,27.20
495,"New Bern, NC",50503,112.40,43.40
496,"Grand Island, NE",50440,72.90,28.10
497,"Pascagoula, MS",50428,102.40,39.50
