FID,X,Y,N1,D1,N2,D2,N3,D3
F238,12023329.66380,3519280.38603,F239,411.8292651379608,F240,740.084141279792,F237,798.1060761039735
F239,12023635.90170,3519555.74342,F240,342.08626144110787,F238,411.8292651379608,F241,914.1328420907598
F240,12023957.60020,3519672.07521,F239,342.08626144110787,F241,572.4829890994355,F244,653.9152527549177
F241,12024507.28870,3519832.01059,F242,377.82033771143267,F243,436.89234193329156,F244,493.6309718229081
F242,12024678.29100,3519495.10345,F241,377.82033771143267,F704,434.18433032687193,F240,742.1012282985038
F243,12024537.64590,3520267.84698,F244,284.59699429156956,F245,298.0056981354535,F241,436.89234193329156
F244,12024253.32560,3520255.30042,F243,284.59699429156956,F241,493.6309718229081,F245,558.6308534736993
F245,12024780.19070,3520440.99263,F243,298.0056981354535,F244,558.6308534736993,F241,667.3339693490241
F246,12024291.73930,3521039.05673,F247,276.5031648978779,F250,294.1517975109872,F248,379.48564604102825
F247,12024552.35230,3521131.44106,F246,276.5031648978779,F251,315.06454142550854,F248,467.30687690653457
F248,12024168.51120,3521397.97760,F249,247.1406582877537,F251,287.082971102485,F246,379.48564604102825
F249,12023957.09950,3521269.97917,F248,247.1406582877537,F250,404.09801092146574,F246,406.58205695668886
F250,12024046.92350,3520875.99078,F246,294.1517975109872,F249,404.09801092146574,F248,535.9606413205711
F251,12024453.72650,3521430.67110,F248,287.082971102485,F247,315.06454142550854,F246,423.79436965916426
F252,11977320.21450,3437713.71354,F756,6697.09727703615,F755,12889.623578568546,F254,13381.614450637691
F253,11960319.70220,3433680.22259,F255,9882.835500528305,F254,12328.221317183968,F256,14770.143525605006
F254,11965892.91180,3444676.78458,F253,12328.221317183968,F252,13381.614450637691,F756,18802.27830328995
F255,11957013.61430,3424366.77960,F0,8910.41124054681,F258,9218.53098587247,F259,9367.537092552728
F256,11967435.32480,3420737.07557,F265,4603.590511830764,F255,11035.705735983105,F253,14770.143525605006
F257,11952314.99410,3416021.90160,F259,268.0877523574609,F1,363.9648907815795,F258,580.6773843774525
F258,11952105.49260,3416563.46909,F1,226.58960552631336,F0,322.1882627929231,F259,323.87108073251574
F259,11952273.88920,3416286.81938,F1,147.13889673845355,F257,268.0877523574609,F258,323.87108073251574
F260,11950412.03400,3414264.41037,F262,552.8313833210053,F261,563.7664818570961,F391,677.0382187066381
F261,11949960.91450,3413926.29228,F262,543.2487854697147,F260,563.7664818570961,F556,820.7224357781611
F262,11950460.85480,3413713.73890,F261,543.2487854697147,F260,552.8313833210053,F391,766.696829947881
F263,11949615.53300,3413067.31106,F556,118.75609008205207,F557,771.1723815369476,F261,925.8169996575773
F264,11948232.15980,3412223.43643,F558,251.36188433528983,F559,412.60115642994157,F561,669.833999861828
F265,11971815.61720,3422153.43855,F256,4603.590511830764,F756,11616.591626355375,F255,14966.568359354886
F266,12059805.97340,3506616.61838,F90,256.12652673967045,F89,366.9123051590041,F92,526.4772119274729
F267,12063224.96190,3506513.20684,F72,413.03139306412413,F68,436.58100015485763,F59,647.5201557206967
F268,11996876.82200,3458715.17317,F160,480.8195008189932,F338,487.57548597015136,F461,534.6124975662211
F269,12062373.22480,3505985.11932,F71,355.04655927045314,F70,387.3987725700452,F72,596.4045767806593
F270,12049327.72730,3508184.33965,F271,1735.741855027523,F272,1865.2511283630267,F761,2303.288519453971
F271,12050931.42350,3507520.29275,F272,377.2999624395137,F761,1328.5816607020165,F270,1735.741855027523
F272,12050877.79860,3507146.82303,F271,377.2999624395137,F761,1686.4629180789348,F270,1865.2511283630267
F273,12052339.17960,3508850.28944,F762,204.57353199852733,F276,684.949295789034,F763,761.2859964360476
F274,12052864.51050,3509428.99104,F275,401.02673238695223,F273,781.5805117440574,F276,807.6486137049114
F275,12053247.45430,3509309.92599,F274,401.02673238695223,F276,726.9514089489572,F763,892.8370842608435
F276,12052988.02370,3508630.84270,F763,175.78884295007475,F277,571.6893367856565,F762,683.8243000256523
